Neighbourhood,Neighbourhood Id,Total Population,Visible Minority Category,   Not a Visible Minority,Total Area,   In Labour Force,Recent Immigrants,   Unemployed,   Not in Labour Force,Less than grade 9,With Bachelor Degree or Higher,With College Certificate/Diploma,Total by Tenure,Tenant Average Rent,Average Family Income,After-Tax Household Income,Pre-Tax Household Income,Part-Time Employment,Low Income Families,Lone Parent Families,Low Income Population,Early Development Instrument (EDI),Seniors Living Alone,Hospital Readmissions,Healthy Food Index,Rent Bank Applicants,Social Housing Units,Social Housing RGI,PFR Program Free Registrations,PFR Program Registrations,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms
Runnymede-Bloor West Village,89,10070,1,0.84061569,0.000158888,0.578450844,0.016881827,0.029294935,0.218470705,0.092353525,0.413604767,0.562562066,0.378351539,1083,114798,74729,91230,0.091757696,0.040714995,0.031777557,0.071499503,4.385964912,0.006951341,0.73,45.64,1,0.000397219,0.000397219,0,0.234061569,0.000695134,0.002979146,0.00019861,0.002184707,0.001092354,0.000893744,9.93049E-05,0,0,0.005461768
Junction Area,90,14366,0.980439928,0.690867326,0.000180983,0.618822219,0.024015036,0.034804399,0.216483363,0.132604761,0.355700961,0.542252541,0.400598636,1025,78000,53804,60789,0.168453292,0.093971878,0.045245719,0.152443269,7.627118644,0.004176528,0.75,44.09,5,0.005847139,0.003341222,0,0,0.000974523,0.006612836,0.000696088,0.002157873,0.000904914,0.001531394,0.000208826,0,0.000139218,0.012599193
Weston-Pellam Park,91,11098,0.998828618,0.620382051,0.000135159,0.537484231,0.03333934,0.045503694,0.311317354,0.335646062,0.145071184,0.336096594,0.396467832,719,66933,48206,51205,0.041178591,0.137862678,0.071183997,0.253198775,20.49180328,0.012164354,1.16,52.57,8,0.066138043,0.055054965,0,0,0.002613083,0.006037124,0.000630744,0.001351595,0.00099117,0.001531808,0.000630744,9.01063E-05,0.000180213,0.011894035
Corso Italia-Davenport,92,14133,0.997665039,0.747894998,0.000134437,0.587985566,0.039623576,0.042453831,0.275242341,0.254369207,0.232434727,0.419231586,0.360857567,945,74367,56345,63149,0.041321729,0.085615227,0.050944598,0.150003538,14.7826087,0.006368075,1,37.94,1,0.004174627,0.002476474,0.004882191,0.60277365,0.001344371,0.004033114,0.000566051,0.001061346,0.00176891,0.000495295,0.000141513,0,7.07564E-05,0.007217151
Dovercourt-Wallace Emerson-Juncti,93,36625,0.988668942,0.653515358,0.000101024,0.609692833,0.036313993,0.043959044,0.257201365,0.224027304,0.294197952,0.473037543,0.380750853,963,70893,50741,56997,0.047726962,0.105392491,0.043139932,0.174744027,19.29824561,0.006416382,1.02,35.06,10,0.03090785,0.014935154,0,0.130238908,0.000546075,0.005351536,0.000546075,0.002129693,0.000955631,0.000737201,0.000327645,0,5.46075E-05,0.0101843
Wychwood,94,14349,0.923409297,0.669384626,0.000118475,0.548818733,0.021952749,0.02857342,0.24461635,0.137291797,0.332775803,0.503867865,0.38539271,930,90496,50261,55941,0.053662276,0.085023347,0.041814761,0.135201059,7,0.016725904,1.17,40.49,7,0.085650568,0.037772667,0,0,0.001184752,0.004808697,0.000627221,0.001951355,0.000627221,0.001254443,0.000209074,0,6.96913E-05,0.012614119
Annex,95,30526,0.938216602,0.700386556,9.17251E-05,0.60800629,0.031939986,0.040948699,0.253554347,0.055198847,0.543471139,0.669265544,0.509401821,1237,141111,49912,57825,0.227707528,0.101880364,0.02391404,0.139553168,5.050505051,0.013103584,1.19,38.85,7,0.047041866,0.027189936,6.55179E-05,0.005405228,0.001408635,0.006748346,0.00095001,0.004029352,0.00095001,0.000589661,0.000655179,0,9.82769E-05,0.025224399
Casa Loma,96,10968,0.992432531,0.822848286,0.000173231,0.590353756,0.025984683,0.038749088,0.288110868,0.047866521,0.539752006,0.680160467,0.485047411,1494,188924,65574,78152,0.120258935,0.057439825,0.025528811,0.086615609,8.695652174,0.01960248,1.15,32.33,6,0.00884391,0.004467542,0.004376368,0.341812546,0.001914661,0.002461707,0.000364697,0.001732312,9.11743E-05,0.000455872,0.000547046,0,0,0.01896426
Yonge-St.Clair,97,12528,0.981800766,0.777458493,9.57854E-05,0.615421456,0.053480204,0.036318646,0.270992976,0.027139208,0.540788633,0.704022989,0.541187739,1314,173751,58838,71728,0.097461686,0.054278416,0.025542784,0.078224777,8.333333333,0.018358876,1,32.65,5,0,0,0,0,0.001037676,0.002234994,0.000319285,0.001037676,0.000399106,0.000558748,0.00063857,0,0,0.015245849
Rosedale-Moore Park,98,20923,0.985040386,0.806767672,0.000219854,0.550112317,0.03584572,0.033217034,0.310184964,0.051139894,0.546049802,0.673421593,0.478181905,1468,249884,72915,88855,0.116379104,0.053529609,0.022941261,0.078860584,9.836065574,0.019356689,0.71,32.2,6,0.024853033,0.004731635,0,0,0.001242652,0.003727955,0.000430149,0.002724275,0.000621326,0.00066912,0.000286766,0,0,0.016871386
Mount Pleasant East,99,16775,0.999105812,0.770789866,0.000184799,0.579433681,0.037853949,0.039940387,0.241728763,0.060506706,0.475111773,0.624441133,0.439344262,1097,133977,71154,84873,0.100745156,0.045305514,0.028614009,0.072131148,10.22727273,0.016989568,0.6,50.4,3,0.017347243,0.017228018,0.00023845,0.080536513,0.000357675,0.00119225,0.000298063,0.0009538,0.000178838,0.0004769,0.000119225,0,0,0.008107303
Yonge-Eglinton,100,11817,0.998984514,0.731996277,0.000135398,0.61944656,0.050774308,0.042735043,0.22679191,0.041465685,0.529322163,0.676144538,0.440467124,1246,140907,63267,72977,0.216213929,0.065160362,0.026233393,0.093086232,2.325581395,0.010154862,0.67,31.95,1,0,0,0.001861725,0.656596429,0.002961835,0.004569688,0.001269358,0.001607853,0.001269358,0.000338495,0.000169248,0,0,0.017771008
Forest Hill South,101,10732,0.987700335,0.821841223,0.000232948,0.568859486,0.043328364,0.031680954,0.295844204,0.067089079,0.519474469,0.651323146,0.446328736,1206,251035,67446,78269,0.081438688,0.051248602,0.019567648,0.080134178,13.04347826,0.018635855,0.88,18.49,5,0.016213194,0,0,0,0.001118151,0.000838613,0.000186359,0.00260902,9.31793E-05,0.000838613,0.000465896,0,0,0.019474469
Forest Hill North,102,12806,0.989379978,0.710604404,0.000124941,0.587224738,0.089020772,0.043729502,0.240902702,0.077697954,0.415430267,0.589176948,0.416601593,1132,137887,53978,61596,0.022645635,0.079650164,0.035920662,0.138216461,11.11111111,0.016789005,0.64,29.11,1,0.024285491,0.017413712,0,0,0.000156177,0.001717945,0.000156177,0.001405591,0.000390442,0.00046853,0.000156177,0,7.80884E-05,0.009839138
Lawrence Park South,103,15179,0.995454246,0.827458989,0.000210818,0.551090322,0.031293234,0.041175308,0.256604519,0.059621846,0.519138283,0.626523486,0.373871797,1230,216754,105043,127853,0.033599051,0.038210686,0.023058172,0.061268858,6.153846154,0.008893867,0.73,37.53,2,0.007444496,0.005599842,0,0,0.000395283,0.001251729,0,0.002964622,0.000131761,0.00131761,6.58805E-05,0,0,0.014625469
Mount Pleasant West,104,29658,0.975116326,0.647380134,4.3833E-05,0.666936408,0.086991705,0.044844561,0.228100344,0.058163059,0.502899724,0.693741992,0.592588846,1148,89797,48066,55802,0.151898307,0.108571043,0.033380538,0.15982197,10.15625,0.021242161,1.05,41.6,14,0.0466316,0.036313979,0,0.010216468,0.000337177,0.003068312,0.000269742,0.001281273,0.000168589,0.000134871,0.000202306,3.37177E-05,0,0.010149032
Lawrence Park North,105,14607,0.996782365,0.784213049,0.000157459,0.5439173,0.023618813,0.034572465,0.228315191,0.05237215,0.479222291,0.592866434,0.376189498,1290,165131,103660,125667,0.091873759,0.040391593,0.028753337,0.067091121,7.567567568,0.010953652,0.68,52.03,1,0.007736017,0.007256795,0,0.158485658,6.84603E-05,0.001437667,0.000205381,0.001916889,0.000273841,0.000889984,0.000205381,0,0,0.008009858
Humewood-Cedarvale,106,14365,0.99025409,0.704838148,0.000132266,0.618865298,0.053950574,0.043856596,0.221023321,0.089453533,0.421858684,0.607030978,0.457709711,974,105770,49252,57140,0.032788026,0.082840237,0.035502959,0.126696833,12.24489796,0.011486251,0.77,32.85,14,0.033414549,0.015384615,6.96136E-05,0.057709711,0.000278455,0.003271841,0.000278455,0.001809955,0.000487296,0.001183432,0.000348068,0,0,0.007379046
Oakwood Village,107,21210,0.988213107,0.561527581,0.000103725,0.552805281,0.068599717,0.037718058,0.28854314,0.21475719,0.239509665,0.433993399,0.403583215,877,67809,46349,49838,0.023573786,0.107496464,0.058462989,0.185289958,15.05376344,0.018151815,1.08,41.07,10,0.038896747,0.020792079,0,0.187270156,0.001414427,0.005186233,0.000377181,0.001037247,0.000848656,0.001131542,4.71476E-05,0,4.71476E-05,0.005752004
Briar Hill-Belgravia,108,14257,0.996352669,0.540786982,0.000126254,0.585677211,0.099950901,0.050852213,0.280914638,0.188679245,0.238830048,0.472048818,0.407519113,976,67358,48395,53990,0.044679806,0.117135442,0.058217016,0.201304622,11.30434783,0.010871852,1.01,34.23,10,0.022164551,0.020060321,0,0,0.00140282,0.003717472,0.000280564,0.00217437,0.001052115,0.001122256,0.000420846,0,0,0.007224521
Caledonia-Fairbank,109,9955,0.994977398,0.634856856,0.000150678,0.55750879,0.068809643,0.040180814,0.288799598,0.305876444,0.11652436,0.333500753,0.3530889,941,66257,51225,56115,0.0123556,0.093420392,0.056253139,0.172777499,11.71171171,0.004018081,1.49,53.48,7,0.000703164,0.000703164,0,0.002009041,0.001506781,0.006027122,0.000703164,0.001305876,0.001808137,0.001305876,0.000100452,0,0,0.004319437
Keelesdale-Eglinton West,110,11058,0.998824381,0.574244891,0.000153735,0.510490143,0.063302586,0.043859649,0.341833966,0.309730512,0.099927654,0.281696509,0.360372581,796,64857,45058,48667,0.038343281,0.097666848,0.052450714,0.178151564,19.62616822,0.017634292,0.94,34.48,12,0.031741725,0.026225357,0,0,0.00081389,0.004431181,0.000452161,0.001266052,0.002079942,0.001537349,0,0,0,0.011032736
Rockcliffe-Smythe,111,22246,0.999505529,0.539422818,0.000229255,0.504135575,0.046749978,0.046300459,0.338263059,0.256900117,0.121370134,0.340735413,0.400296683,810,64271,46154,49695,0.031421379,0.11867302,0.068776409,0.231951812,15.85365854,0.017306482,1.26,31.87,16,0.049087476,0.048323294,0.000899038,0.016272588,0.00166322,0.005529084,0.000494471,0.00166322,0.002067787,0.001618268,0.000134856,0,0.000134856,0.010743504
Beechborough-Greenbrook,112,6577,0.968526684,0.396837464,0.000273681,0.475140642,0.054736202,0.053975977,0.324616086,0.247833359,0.092747453,0.324616086,0.405199939,749,58706,37540,41175,0.146267295,0.144442755,0.092747453,0.29192641,19.11764706,0.015964726,1.09,25.57,9,0.125285084,0.060057777,0.017029041,0.633571537,0.003192945,0.00760225,0.00212863,0.00182454,0.00152045,0.001064315,0.000456135,0,0,0.00973088
Weston,113,17992,0.982936861,0.384893286,0.000144509,0.50439084,0.081425078,0.053634949,0.307358826,0.22204313,0.133114718,0.377945754,0.439361939,874,61470,41356,45119,0.110382392,0.147287683,0.082814584,0.280680302,15.09433962,0.014172966,0.92,41.45,45,0.057581147,0.046242775,5.55803E-05,0.103879502,0.003112494,0.009393064,0.000611383,0.002389951,0.001945309,0.00216763,0.000111161,0.000222321,0.000222321,0.019286349
Lambton Baby Point,114,7985,1,0.755165936,0.000212899,0.525986224,0.03068253,0.040075141,0.260488416,0.1183469,0.369442705,0.527238572,0.395742016,814,122277,58158,69525,0.012773951,0.086412023,0.056355667,0.174076393,14.1509434,0.011271133,0.8,27.28,10,0.083656857,0.057983719,0,0.071634314,0.000626174,0.002629931,0.00025047,0.001001879,0.00025047,0.000125235,0.000125235,0,0,0.010018785
Mount Dennis,115,13593,0.975502097,0.313028765,0.000154491,0.50798205,0.066578386,0.054807622,0.292062091,0.210034577,0.121386008,0.343191348,0.358640477,896,57386,43790,46811,0.045611712,0.141984845,0.088280733,0.277348635,21.15384615,0.012506437,1.38,29.91,14,0.084234532,0.032075333,0.011844332,0.067534761,0.001471346,0.006106084,0.000514971,0.002207018,0.001765615,0.001029942,0,0,0.000441404,0.012800706
Steeles,116,24623,0.985460748,0.089347358,0.000186817,0.448158226,0.073508508,0.042439995,0.409576412,0.184583519,0.23595825,0.40287536,0.312106567,1155,67732,55755,60946,0.043617756,0.142955773,0.044267555,0.307436137,10.57268722,0.006294928,0.95,11.36,7,0,0,0.106079682,0.137391869,0.000284287,0.001462048,8.12249E-05,0.001949397,0.000527962,0.001137148,0.000121837,0,0,0.004345531
L'Amoreaux,117,43993,0.988793672,0.226058691,0.000161389,0.480644648,0.090127975,0.052281045,0.369035983,0.191621394,0.222308094,0.426545132,0.33903121,919,64493,49769,53644,0.045802741,0.132748392,0.050689882,0.282999568,12.06896552,0.011479099,1.02,30.73,16,0.040370059,0.034323642,0.001636624,0.091241788,0.000340963,0.003091401,0.000181847,0.001091083,0.000704658,0.000636465,0.000113654,4.54618E-05,6.81927E-05,0.006887459
Tam O'Shanter-Sullivan,118,27446,0.984842964,0.244297894,0.000200393,0.470378197,0.088719668,0.042811339,0.372549734,0.151752532,0.251220579,0.449063616,0.357246958,964,64630,46095,49720,0.063798003,0.112949064,0.046272681,0.239379145,12.93103448,0.016760184,1,41.37,13,0.022116155,0.020768054,0.117467026,0.129964294,0.000255046,0.003315602,0.000182176,0.002186111,0.000437222,0.000838009,0.000255046,0,3.64352E-05,0.008452962
Wexford/Maryvale,119,27917,0.986674786,0.43951714,0.000365369,0.513665508,0.070566322,0.046029301,0.322205108,0.171580041,0.190027582,0.419457678,0.357130064,904,69418,53752,58939,0.174875524,0.095640649,0.052656088,0.197012573,12.04819277,0.012358061,1.07,42.08,12,0.026363864,0.012143139,0.008238708,0.239889673,0.000358205,0.005444711,0.000358205,0.002650715,0.00075223,0.001432819,0.000394025,7.16409E-05,3.58205E-05,0.010316295
Clairlea-Birchmount,120,26984,0.97446635,0.377445894,0.000274237,0.526052476,0.067447376,0.045953157,0.279610139,0.140638897,0.213274533,0.420990216,0.324266232,890,69549,53716,59224,0.154054254,0.099318114,0.048176697,0.209383338,10.90225564,0.00333531,0.92,30.8,11,0.015638897,0.007745331,0.006596502,0.143455381,0.001704714,0.007967685,0.000407649,0.003261192,0.00111177,0.001778832,0.000592944,3.7059E-05,0.000111177,0.009190631
Oakridge,121,13845,0.983026363,0.243048032,0.000130011,0.444203684,0.127121705,0.065005417,0.332611051,0.168291802,0.213073312,0.39508848,0.37739256,730,50793,32079,33980,0.038642109,0.18562658,0.056338028,0.425424341,11.9760479,0.014445648,0.9,35.43,14,0.107331166,0.105742145,0.269122427,0,0.00166125,0.008161791,0.000866739,0.00411701,0.001805706,0.000794511,0.000722282,0,7.22282E-05,0.015745757
Birchcliffe-Cliffside,122,22291,0.973262752,0.715086806,0.000269167,0.538333857,0.02175766,0.047328518,0.285092638,0.139966803,0.23193217,0.456237944,0.412049706,849,90256,57017,64701,0.062222422,0.080301467,0.050244493,0.136826522,13.5678392,0.009869454,1.04,32.74,15,0.016598627,0.016464044,0,0.217217711,0.000986945,0.007312368,0.000358889,0.003409448,0.000852362,0.000717778,0.000269167,0,0,0.010228343
Cliffcrest,123,15935,0.991841858,0.579541889,0.00044556,0.514590524,0.037652965,0.049890179,0.316598682,0.149356762,0.228427989,0.449325384,0.365547537,839,83694,60384,68647,0.030812676,0.080953875,0.047693756,0.166928146,18.24817518,0.015374961,1.2,25.55,14,0.03200502,0.029934107,0,0,0.001129589,0.00558519,0.000564794,0.003577032,0.001129589,0.000627549,0.000188265,0,0,0.007593348
Kennedy Park,124,17123,0.998656777,0.304561117,0.000210244,0.496992349,0.068329148,0.04526076,0.3393097,0.181043042,0.176662968,0.404426794,0.381358407,742,58513,41776,44226,0.031069322,0.143082404,0.064241079,0.280908719,7.843137255,0.008760147,1.32,34.96,10,0.079425334,0.076855691,0.101559306,0.220405303,0.001051218,0.01068738,0.000642411,0.002628044,0.001576826,0.000642411,0.000233604,0,5.8401E-05,0.012030602
Ionview,125,13641,0.997727439,0.268308775,0.000146617,0.506194561,0.110695697,0.044718129,0.321090829,0.178139433,0.190601862,0.41455905,0.371673631,863,57069,42971,46955,0.01979327,0.12389121,0.062312147,0.245583168,8.724832215,0.007330841,1.07,47.14,19,0.025511326,0.021772597,0,0.003885346,0.000953009,0.006011289,0.000733084,0.001246243,0.000586467,0.000366542,0.000293234,0,0,0.004398505
Dorset Park,126,25003,0.97508299,0.217573891,0.000239971,0.509338879,0.078390593,0.049194097,0.296564412,0.161780586,0.197776267,0.406951166,0.340959085,921,60973,47630,51724,0.106227253,0.120385554,0.053193617,0.263568372,16.81034483,0.00899892,1.17,32.27,12,0.018717754,0.018477783,0.025876895,0.125224973,0.001119866,0.006159261,0.000399952,0.002759669,0.001639803,0.001799784,0.000519938,0,0,0.008598968
Bendale,127,29960,0.97129506,0.267690254,0.000246996,0.476301736,0.065754339,0.041889186,0.344959947,0.148698264,0.210113485,0.409379172,0.333611482,977,65560,51254,55786,0.233311081,0.105807744,0.043724967,0.229305741,16.58986175,0.009012016,0.91,29.12,22,0.01682243,0.013150868,0.011615487,0.120093458,0.001001335,0.006508678,0.001001335,0.001869159,0.001835781,0.001535381,0.000400534,0.000100134,6.67557E-05,0.01018024
Agincourt South-Malvern West,128,23757,0.98791935,0.139748285,0.000332534,0.507008461,0.073031107,0.049880035,0.35126489,0.171107463,0.24266532,0.432925033,0.289809319,971,68465,53886,59013,0.162099592,0.130908785,0.043355643,0.269394284,17.82178218,0.005051143,0.86,35.26,18,0.010523214,0.005345793,0.00088395,0.46558909,0.000378836,0.004461843,0.000378836,0.002567664,0.000757671,0.001094414,0.000463021,0,0,0.0070716
Agincourt North,129,29113,0.990107512,0.084670079,0.000250747,0.476247724,0.074365404,0.046714526,0.382303438,0.204891286,0.199395459,0.377322845,0.314120839,976,67622,55893,60162,0.050321162,0.136708687,0.047058015,0.283378559,12.33480176,0.006182805,1.01,38.09,8,0.008484182,0,0,0.152440491,0.000343489,0.002163982,0.000274791,0.001683097,0.000412187,0.000549583,0.000137396,0,0,0.004396661
Milliken,130,26572,0.980731597,0.033870239,0.000353756,0.458941743,0.082417582,0.043654975,0.383298209,0.213570676,0.174431733,0.336444378,0.29297757,934,66372,55464,60262,0.161673942,0.149029053,0.044407647,0.313487882,11.41732283,0.006021376,1.14,25.25,3,0.005870841,0.00523107,0.009972904,0.122083396,0.000451603,0.002333283,0,0.002521451,0.00094084,0.001279542,0.00041397,0,7.52672E-05,0.006021376
Rouge,131,46496,0.990622849,0.188188231,0.000808672,0.530045595,0.034304026,0.043229525,0.290024948,0.12205351,0.197758947,0.425735547,0.280884377,1082,86997,72784,81553,0.072178252,0.080867171,0.04559532,0.167111149,13.43873518,0.002688403,0.67,21.95,30,0.007140399,0.004839126,2.15072E-05,0.036540778,0.000430145,0.002666896,0.000258087,0.001634549,0.00062371,0.000408637,0.000258087,0,8.60289E-05,0.004946662
Malvern,132,43794,0.999337809,0.104580536,0.000203224,0.508288807,0.062679819,0.053317806,0.310773165,0.168516235,0.165091108,0.387267662,0.306320501,958,64497,53425,57528,0.039845641,0.118052701,0.061652281,0.262364707,11.06290672,0.004909348,0.9,38.63,36,0.023153857,0.014385532,0.064027036,0.181531717,0.000319678,0.005206193,0.000365347,0.001484222,0.001233046,0.00082203,0.000159839,9.13367E-05,2.28342E-05,0.005297529
Centennial Scarborough,133,13362,0.99835354,0.563164197,0.000404131,0.537718904,0.01571621,0.040787307,0.300104775,0.084942374,0.303472534,0.529486604,0.320311331,1128,102278,86816,102864,0.024771741,0.051638976,0.038167939,0.099535998,10.37735849,0.003741955,0.81,9.35,3,0.009429726,0.005388415,0.000449035,0.306166742,7.48391E-05,0.002843886,0,0.001347104,0.00082323,0.000374195,7.48391E-05,0,0,0.005014219
Highland Creek,134,12494,0.997678886,0.254922363,0.000408196,0.532655675,0.026012486,0.045221706,0.341764047,0.103649752,0.244517368,0.488634545,0.304546182,909,98857,87321,98087,0.043220746,0.088842644,0.038418441,0.169681447,14.81481481,0.003201537,0.67,0.63,4,0,0,0.000320154,0.176244597,0.000480231,0.004001921,0.000960461,0.002721306,0.000560269,0.000640307,8.00384E-05,0,0,0.006643189
Morningside,135,17455,0.982526497,0.24577485,0.000320825,0.501861931,0.069607562,0.057003724,0.315668863,0.13778287,0.184474363,0.428530507,0.335720424,857,66024,50069,54746,0.084044686,0.122600974,0.060727585,0.262389,11.35135135,0.008593526,0.97,6.67,19,0.029962761,0.027957605,0.000630192,0.049842452,0.000802062,0.007791464,0.000458321,0.001088513,0.000687482,0.000744772,0,0,0.00011458,0.012317388
West Hill,136,27392,0.984228972,0.360871787,0.000350467,0.478241822,0.053117699,0.055308119,0.339515187,0.156432535,0.15807535,0.400299357,0.354117991,686,65871,46803,49713,0.0526066,0.135441005,0.07666472,0.278913551,19.36619718,0.013872664,0.91,28.06,18,0.074912383,0.06677132,0.039683119,0.166946554,0.001971379,0.011864778,0.000657126,0.002628505,0.002044393,0.000511098,0.000255549,0,0.000182535,0.016209112
Woburn,137,53485,0.991025521,0.233616902,0.000228101,0.470786202,0.092081892,0.049827054,0.340562775,0.170889034,0.203047583,0.399551276,0.343647752,840,63186,47908,52018,0.094250725,0.12826026,0.053472936,0.288492101,15.18987342,0.009254931,0.9,27.73,36,0.048499579,0.044161915,0.063344863,0.185154716,0.000729176,0.005478171,0.000598299,0.001458353,0.001084416,0.000579602,0.000299149,1.86968E-05,9.34842E-05,0.010862859
Eglinton East,138,22776,0.977564103,0.214260625,0.000140499,0.469353706,0.101642079,0.050711275,0.324244819,0.174525817,0.16025641,0.373638918,0.353881279,874,57357,42790,46495,0.043291184,0.128644187,0.075079031,0.276167896,20.30651341,0.008342115,1.16,34.79,22,0.038856691,0.032226906,0,0.01295223,0.001141553,0.007244468,0.000570776,0.002722164,0.001404988,0.000965929,0.000263435,0,4.39059E-05,0.008078679
Scarborough Village,139,16724,0.982420474,0.261301124,0.000185362,0.450849079,0.09716575,0.058598421,0.330961492,0.16921789,0.175496293,0.378198995,0.353085386,833,61631,40181,42131,0.042693136,0.143506338,0.066969624,0.328868692,19.5,0.01165989,1.06,35.48,30,0.047117914,0.041377661,0.064757235,0.133281512,0.001674241,0.008909352,0.000777326,0.002033006,0.001315475,0.000538149,0.000119589,0.000358766,5.97943E-05,0.014828988
Guildwood,140,9917,0.973076535,0.684178683,0.00038318,0.50166381,0.014621357,0.039830594,0.341837249,0.105878794,0.27377231,0.51023495,0.398810124,1081,92858,67678,76055,0.036704649,0.044368257,0.046384995,0.079661188,10.71428571,0.023696682,0.9,15.57,3,0.004840173,0,0,0.096904306,0.000403348,0.00363013,0.000806696,0.001714228,0.000806696,0.000403348,0.000100837,0,0,0.006756075
