Neighbourhood,Neighbourhood Id,Total Population,Visible Minority Category,   Not a Visible Minority,Total Area,   In Labour Force,Recent Immigrants,   Unemployed,   Not in Labour Force,Less than grade 9,With Bachelor Degree or Higher,With College Certificate/Diploma,Total by Tenure,Tenant Average Rent,Average Family Income,After-Tax Household Income,Pre-Tax Household Income,Part-Time Employment,Low Income Families,Lone Parent Families,Low Income Population,Early Development Instrument (EDI),Seniors Living Alone,Hospital Readmissions,Healthy Food Index,Rent Bank Applicants,Social Housing Units,Social Housing RGI,PFR Program Free Registrations,PFR Program Registrations,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms
Bayview Woods-Steeles,49,13154,0.962064771,0.334879124,0.000311692,0.471719629,0.081344078,0.037631139,0.375551163,0.107951954,0.389235214,0.567888095,0.358826213,1459,88861,61716,70294,0.081192033,0.107951954,0.036490801,0.234149308,24.41860465,0.013303938,1.21,35.61,4,0.013227915,0.012999848,0.003497035,0.424509655,0.000228068,0.002356698,0.000532158,0.002508743,0,0.001368405,7.60225E-05,0,7.60225E-05,0.007526228
Newtonbrook East,50,16097,0.964776045,0.268372989,0.000254706,0.502267503,0.115238864,0.044107598,0.36497484,0.100639871,0.419022178,0.587687147,0.387028639,1203,84163,54195,61490,0.102130832,0.147853637,0.029819221,0.285767534,12.87128713,0.011803442,0.91,29.12,2,0,0,0.000621234,0.083121078,0.000869727,0.004348636,0.000248494,0.002547058,0.000434864,0.000310617,0.00037274,6.21234E-05,0,0.007579052
Willowdale East,51,50434,0.996450807,0.248740929,9.91395E-05,0.536840227,0.146825554,0.045604156,0.342526867,0.053039616,0.497580997,0.647380735,0.389320696,1453,80607,55154,64362,0.055200857,0.124122616,0.028353888,0.264305825,12,0.005353531,0.91,28.9,7,0.009834635,0.00904152,0.000634493,0.092536781,0.000297418,0.002339691,0.000317246,0.001586232,0.000436214,0.000872427,0.000237935,0,3.96558E-05,0.009299282
Bayview Village,52,21396,0.988035147,0.310104692,0.000243036,0.555477659,0.117779024,0.042531314,0.319919611,0.058889512,0.457562161,0.642176108,0.344690596,1441,92800,58028,67186,0.195036455,0.09768181,0.031314264,0.198635259,13.44537815,0.008412787,0.98,32.12,2,0.00612264,0.006075902,0,0,0.000373902,0.003131426,0.000420639,0.001542344,0.000373902,0.00060759,0.000233689,0,0,0.009394279
Henry Farm,53,15723,0.999491191,0.234052026,0.000165363,0.547287413,0.186669211,0.056604974,0.292565032,0.058513006,0.405138968,0.587038097,0.26044648,1156,65901,47659,52675,0.200216244,0.131018254,0.029256503,0.268396616,8.695652174,0.004452077,1.08,20.8,5,0.014755454,0,0,0.024931629,0.000318005,0.003688863,0.000699612,0.000763213,0.000508809,0.00057241,6.36011E-05,0,0,0.012720219
O'Connor-Parkview,54,18675,0.990629183,0.61686747,0.000262383,0.512985274,0.066666667,0.051941098,0.311646586,0.157965194,0.212583668,0.441767068,0.396251673,865,73050,48969,54491,0.053440428,0.107095047,0.057831325,0.209370817,9.756097561,0.009638554,0.98,37.63,24,0.028273092,0.015528782,0.00107095,0.068487282,0.00064257,0.006318608,0.000589023,0.001820616,0.00107095,0.000374833,0.000321285,0,0.000107095,0.009263722
Thorncliffe Park,55,21108,0.987540269,0.205846125,0.000146864,0.402217169,0.183816562,0.050691681,0.320257722,0.122702293,0.240430169,0.380661361,0.317888952,1055,49530,38645,40795,0.142884215,0.14354747,0.033162782,0.412166003,14.24332344,0.013028236,0.86,34.53,15,0.026861853,0.019423915,0.028614743,0.051402312,0.000947508,0.003363654,0.000142126,0.00113701,0.000568505,0.000189502,0.000521129,0,0.000142126,0.012270229
Leaside-Bennington,56,16828,0.98853102,0.814713573,0.000285239,0.543439506,0.021095793,0.037734728,0.250475398,0.067149988,0.455490849,0.58711671,0.389232232,1158,158847,85039,102666,0.077311623,0.035060613,0.029118136,0.055265034,13.29787234,0.014856192,0.84,40.94,2,0,0,0.00011885,0.256596149,0.000356549,0.001129071,0.00011885,0.001961017,0.000415973,0.000237699,0.00011885,0,0.000653672,0.006893273
Broadview North,57,11499,0.98530307,0.713105487,0.000147839,0.571788851,0.059135577,0.046960605,0.286981477,0.160448735,0.305243934,0.514827376,0.488303331,940,67940,41036,45969,0.056178798,0.108705105,0.051308809,0.18697278,22.22222222,0.016088356,0.99,31.36,11,0.013392469,0.008174624,0,0,0.000695713,0.003913384,0.000521785,0.001391425,0.000782677,0.000695713,0.000173928,0,0,0.010783546
Old East York,58,9233,0.997508935,0.731073324,0.000249106,0.553991119,0.034658291,0.027618326,0.284306293,0.135925485,0.263727932,0.484133001,0.417524098,959,90478,61174,72230,0.036932741,0.06823351,0.044405935,0.121304018,9.473684211,0.016246074,1.03,24.76,6,0.019711903,0.010397487,0.001732915,0.574894401,0.000216614,0.003357522,0.000108307,0.002707679,0.000433229,0.000649843,0.000216614,0.000108307,0.000324921,0.008664573
